S No,Symptoms
62,a small full thickness hole is seen either in the centre of the ring (central) or at the margin of the ring (eccentric).
63,"A small subset of  genital naevi (5%), termed atypical melanocytic naevi of the genital type"
64,"A small subset of  genital naevi (5%), termed atypical melanocytic naevi of the genital type, occurs mainly in young premenopausal women and is  characterized by marked architectural and atypical c"
65,a small yellow spot with grey margin may be noted in the foveolar and parafoveolar region
66,A solitary glomus tumour is a pink or purple nodule varying in  size from 1 to 20 mm; it is conspicuously painful
67,a solitary papule on the head and neck area
68,"a solitary, deep, dermal or subcutaneous  tumour 3–30 mm in diameter situated on the head, neck or upper  extremities"
69,A tender fi rm cord extending along the vein on palpation
70,A tiny vesicle or pustule forms initially and rapidly develops into a honey-colored crusted plaque that is generally <2 cm in diameter
71,"A tuberculous gumma presents either as a firm, subcutaneous nodule or as a non-tender, fluctuant abscess"
72,a typical bluish appearance of surrounding skin  w(th matted lymph nodes in the ipsilateral axilla
73,a widespread erythematous eruption follows which is  usually accentuated in the flexures  and progresses  rapidly to superficial blister formation (Nikolsky positive).
74,Aasymptomatic ventricular arrhythmia
75,abdomen bleeding
76,abdomen bruise
77,abdomen deformity
78,abdomen discolouration
79,abdomen fullness
80,abdomen infection
81,abdomen injury
82,"Abdomen is markedly enlarged, looks  globular with fullness at the flanks. ? The skin is tense, shiny with large striae."
83,abdomen itching
84,abdomen muscle cramps
85,abdomen numbness
86,abdomen pale skin
87,abdomen rashes
88,abdomen redness
89,abdomen swelling
90,abdomen tightness
91,Abdominal colic
92,abdominal cramp
93,abdominal discharge
94,abdominal discomfort
95,abdominal distension
96,abdominal distress 
97,Abdominal examination shows distension  combined with tenderness and rigidity in the lower abdomen.
98,abdominal flatulance
99,ABDOMINAL GIRTH
100,abdominal Hernias
101,abdominal lump
102,ABDOMINAL MASS
103,Abdominal Pain
104,ABDOMINAL PREGNANCY
105,abdominal spasticity
106,abdominal stiffness
107,abdominal swelling
108,abdominal tenderness
109,abdominal tightness
110,ABDOMINAL TRAUMA
111,abdominal tuberculosis
112,"abdominal, back/flank pain"
113,Aberrant keratinization in the oral and nasal mucosa may result in  hyposmia and hypogeusia
114,Abetalipoproteinemia
115,abnormal behaviour
116,Abnormal blood lipids
117,ABNORMAL BODY MOVEMENTS
118,Abnormal bowel sound
119,abnormal cardiac rhythm
120,abnormal chest posture
121,Abnormal coagulation test
122,Abnormal colouration of body tissue or fluids
123,Abnormal coordination
124,Abnormal creatinine phosphokinase
125,Abnormal discomfort
126,abnormal dreaming
127,abnormal eye lashes growth
128,abnormal facies
129,Abnormal gait
130,Abnormal heart rhythm
131,abnormal liver enzyme values
132,Abnormal liver function
133,Abnormal liver function values
134,abnormal moro's reflex
135,abnormal motor response
136,Abnormal muscle contractions
137,Abnormal pancreatic function tests
138,abnormal pigmentation of the skin
139,ABNORMAL POSTURE
140,Abnormal posture
141,abnormal posture of elbow
142,abnormal posture of eyes
143,abnormal posture of shoulder
144,abnormal posture of thumb
145,abnormal posture of toe
146,abnormal posture of wrist
147,Abnormal receding of near point
148,Abnormal renal function values
149,abnormal respiratory sound
150,abnormal rotation of eyeballs
151,abnormal shin posture
152,Abnormal smell
153,Abnormal spermatozoa
154,Abnormal sweat odour (bromhidrosis)
155,Abnormal systolic pulsation
156,abnormal taste in mouth
157,Abnormal thinking
158,Abnormal thyroid function test
159,Abnormal tone of body
160,abnormal tooth
161,abnormal urinalysis
162,abnormal uterine bleeding
163,abnormal vaginal bleeding
164,Abnormal vision
165,abnormalities in haematological parameters
166,Abnormalities in liver function
167,Abnormalities in pancreatic enzymes
168,Abnormalities of glucose homeostasis
169,Abnormalities of kidney function
170,abnormalities of liver kidney function
171,Abnormalities of sweating
172,Abnormalities of the genital tract
173,Abnormalities of wound healing
174,abnormally persistent neonatal reflexes
175,Abortion
176,abrupt lapse of awareness or consciousness
177,abscence of nasolabial fold
178,abscess
179,abscesses
180,abscesses and septicaemia
181,abscesses in muscles and bones
182,Abscesses may develop subcutaneously or in the muscle
183,absence of cranial vault
184,Absence of deep tendon reflexes
185,absence of ejaculation
186,Absence of fetal movements
187,absence of gross hematuria
188,absence of hypertension
189,"Absence of photopsia, holes/tears, folds and undulations."
190,Absence of posterior synechiae
191,Absence of pulsations in the foot (posterior tibial and  dorsalis pedis arteries); Loss of joint movements
192,absence of red glow distant direct ophthalmoscopy
193,Absence of sensation.
194,absence of superficial abdomonal reflexes
195,absence of testes
196,absence or diminution of reflexes
197,absence seizures
198,Absent  vocal resonance
199,absent bowel sounds
200,absent clavicles
201,absent deep tendon reflexes
202,absent foveal reflex and a yellow spot or a yellow ring in the foveal region.
203,absent or atrophic tongue  papillae
204,absent planter reflex
205,absent pulses
206,absent respiration
207,ABSENT VAGINA
208,Absents reflexes
209,Absolute Primary Angle-closure Glaucoma
210,abuse potential
211,ACALCULOUS CHOLECYSTITIS
212,Acanthamoeba infections
213,ACANTHAMOEBA KERATITIS
214,Acanthomas
215,"Acanthomas: Epidermolytic acanthoma, Warty dyskera"
216,acanthosis nigricans
217,accentuated palmar creases
218,accessory use of respiratory muscles
219,Accidental aspiration
220,accommodative convergent strabismus
221,"accumulate excess fat over the chin, breasts and waist,  as well as over the upper back, producing a so-called ‘buffalo  hump’"
222,acetaminophen poisoning
223,Acetyl-CoA-acetyltransferase deficiency (3-Ketothi
224,ACHALASIA
225,Achenbach syndrome
226,aching
227,aching pain and tenderness  over one area.
228,achlorhydria
229,Achondroplasia
230,Acid aspiration ayndrome
231,Acid Peptic Disease
232,acid rebound
233,Acid reflux
234,acid regulation
235,Acidification of the blood
236,Acidification of the urine
237,acidity
238,acidosis
239,acidosis in children
240,acinar cell carcinoma
241,acinar cell cystadenocarcinoma
242,Acinic cell carcinoma
243,Acne
244,Acne conglobata
245,Acné excoriée
246,acne fulminans
247,Acne mechanica
248,"Acne mechanica has also been described in  other circumstances, for example on the backs of young patients  lying in hospital beds for several weeks, and on the face following  jaw splinting  and with"
249,Acne of chemical origin
250,acne on face
251,acne on forehead
252,Acne vulgaris
253,Acneform dermatitis
254,acneform eruption
255,acneform lesion
256,Acneform naev
257,acneform pustules
258,acneform rashes
259,acne-like eruptions of the skin
260,acoustic neuroma
261,acquired  partial lipodystrophy
262,Acquired Atresia and Stenosis of Meatus
263,Acquired bilateral naevus of Ota-like macules
264,Acquired cicatricial alopecia
265,Acquired digital fi brokeratoma
266,Acquired generalized lipodystrophy
267,Acquired ichthyosis
268,Acquired melanocytic naevi
269,Acquired partial lipodystrophy
270,Acquired perforating dermatosis
271,Acquired progressive lymphangioma
272,acquired toxoplasmosis
273,acral  erythema
274,Acral fi bromyxoma
275,Acral naevi
276,"Acral naevi are usually macular or slightly elevated, uniformly  pigmented lesions with irregular and sharp borders"
277,acral pain
278,Acroangiodermatitis
279,Acrocyanosis
280,acrocyanosis
281,Acrodermatitis chronica atrophicans
282,Acrodermatitis enteropathica
283,acrodynia (Pink disease)
284,Acrogeria
285,Acromegaly
286,ACROPHOBIA
287,Acropustulosis
288,Actinic cheilitis (solar cheilosis)
289,Actinic elastosis
290,Actinic folliculitis
291,Actinic granuloma and annular elastolytic giant cell granuloma
292,Actinic keratoses
293,"Actinic keratosis:  Arsenical keratosis, PUVA kera"
294,Actinic prurigo
295,actinomycetoma
296,Actinomycosis dermatology
297,ACTINOMYCOSIS OF BREAST
298,activated clotting time
299,activated partial thromboplastin time
300,ACTIVATION OF LATENT TB
301,Activation of mania or hypomania
302,activation of peptic ulcer
303,Active bleeding
304,active deep tendon reflexes
305,Active infections
306,Active patch of choroiditis
307,Active straight leg raising not possible
308,acute abdomen
309,acute alcoholism
310,acute and chronic papular onchodermatitis
311,acute angina
312,acute angle-closure glaucoma
313,acute anxiety
314,Acute Appendicitis
315,Acute arrhythmia
316,"Acute arsenical dermatitis is a pruritic, erythematous, papular eruption which can blister,  and may lead to erythroderma"
317,acute asthma
318,Acute attacks of mild to moderate ulcerative colitis
319,Acute attacks of porphyria
320,ACUTE BACTERIAL CONJUNCTIVITIS
321,ACUTE BACTERIAL RHINOSINUSITIS
322,acute bronchospasm
323,acute cardiopulmonary resuscitation
324,acute cerebellar ataxia
325,ACUTE CERVICITIS
326,acute cholecystitis
327,ACUTE COLITIS
328,Acute coronary syndromes
329,Acute cutaneous miliary tuberculosis
330,Acute cytokine release syndrome
331,Acute dacryocystitis
332,Acute degenerative myocarditis
333,acute demyelinating encephalomyelitis
334,ACUTE DIARRHOEAL DISEASE
335,Acute Disseminated Encephalomyelitis (ADEM)
336,acute dystonia
337,ACUTE ENDOMETRITIS
338,Acute Eosinophilic Pneumonia
339,Acute epidermal distension and acute  oedema blist
340,ACUTE EPIGLOTTITIS (SYN SUPRAGLOTTIC LARYNGITIS)
341,Acute Epiglottits
342,acute esophageal ulceration
343,ACUTE ETHMOID SINUSITIS
344,ACUTE FEBRILE ILLNESS
345,Acute follicular hypertrophy
346,acute follicular tonsillitis
347,ACUTE FRONTAL SINUSITIS
348,Acute Gastroenteritis
349,acute generalised exanthematous pustulosis
350,Acute generalized exanthematous pustulosis
351,Acute Gingivitis
352,ACUTE GLOMERULONEPHRITIS
353,Acute Gout
354,Acute graft rejection episodes
355,Acute graft-versus-host disease
356,ACUTE HAEMATOGENOUS OSTEOMYELITIS
357,ACUTE HAEMORRHAGIC CONJUNCTIVITIS
358,acute heart failure
359,acute hepatic failure
360,Acute Hepatitis
361,ACUTE HERPETIC CONJUNCTIVITIS
362,acute hydrops
363,acute hypertensive crisis
364,acute infection
365,Acute Intermittent Porphyria
366,acute interstitial nephritis
367,ACUTE INTESTINAL OBSTRUCTION
368,ACUTE IRIDOCYCLITIS
369,Acute iritis
370,ACUTE ISCHEMIC OPTIC NEUROPATHY
371,acute kidney injury
372,acute labyrinthitis
373,ACUTE LARYNGITIS
374,ACUTE LARYNGO-TRACHEO-BRONCHITIS
375,acute leukaemias
376,acute liver failure
377,Acute lymphoblastic leukaemia
378,Acute malarial attack
379,acute mastoiditis
380,ACUTE MAXILLARY SINUSITIS
381,Acute mucopurulent conjunctivitis
382,Acute Myeloid Leukemia
383,ACUTE MYELOID LEUKEMIA
384,Acute Mylogenous Leukemia
385,acute myocardial infarction
386,acute myocarditis
387,ACUTE NASOPHARYNGITIS
388,Acute nausea vomiting in chemotherapy
389,Acute necrotizing (ulcerative) gingivitis and noma
390,ACUTE NECROTIZING OTITIS MEDIA
391,Acute non-granulomatous type of iridocyclitis
392,ACUTE OESOPHAGITIS
393,ACUTE ONSET OF CHOREIFORM MOVEMENTS
394,acute onset of painful ulcers
395,Acute oral poisoning
396,ACUTE OSTEOMYELITIS
397,Acute Otitis Media
398,acute pain
399,Acute Pancreatitis
400,ACUTE PARONYCHIUM
401,ACUTE PELVIC PAIN
402,Acute Pericarditis
403,Acute Pericoronitis
404,Acute Periodontitis
405,Acute Peritonitis
406,acute pharyngitis
407,ACUTE PID
408,Acute primary angle-closure
409,Acute prostatitis
410,acute psychosis
411,Acute pulmonary oedema
412,Acute pulmonary reactions
413,Acute pulmonary sensitivity reactions
414,Acute Pulpitis
415,Acute Pyelonephritis
416,Acute reduction in blood pressure
417,Acute Renal Failure
418,Acute renal failure secondary to interstitial nephritis
419,acute renal insufficiency
420,acute respiratory distress syndrome
421,acute respiratory failure
422,Acute respiratory infection
423,Acute Retinal Necrosis
424,ACUTE RETROPHARYNGEAL ABCESS
425,ACUTE RHEUMATIC FEVER
426,acute rhinitis
427,acute rhinosinusitis
428,Acute Ruptured Ectopic pregnency
429,Acute Schistosomiasis (Katayama Fever)
430,acute severe asthma
431,ACUTE SPHENOID SINUSITIS
432,Acute ST-elevation myocardial infarction
433,ACUTE SUPPURATIVE ARTHRITIS
434,ACUTE SUPPURATIVE OTITIS MEDIA
435,ACUTE SUPPURATIVE PAROTITIS
436,ACUTE SUPPURATIVE TENOSYNOVITIS
437,acute syndrome of back pain
438,acute tonsillitis
439,Acute transient hypotension with flushing
440,acute tubular necrosis(Kidney)
441,ACUTE TUBULOINTERSTITIAL NEPHRITIS
442,acute ulcerative colitis
443,acute uncomplicated infections
444,acute uncomplicated malaria
445,Acute unstable angina
446,acute vestibular neuronitis
447,ACUTE VIRAL HEPATITIS
448,ACUTE VIRAL RHINOSINUSITIS
449,acute visual loss
450,"acute, recurrent, non-granulomatous type of iridocyclitis"
451,Adamantinoma
452,addiction
453,addisonian crisis
454,Addison's Disease
455,ADDUCTED LIMB
456,Adenine phosphoribosyltransferase deficiency
457,Adenocarcinofibroma (malignant adenofibroma)
458,ADENOCARCINOMA
459,"adenocarcinoma - tubular, intestinal, diffuse,  pa"
460,"Adenocarcinoma (acinar) - Atrophic, Pseudohyperpla"
461,adenocarcinoma in situ
462,adenocarcinoma of lung
463,"Adenocarcinoma, not otherwise specified"
464,"Adenocarcinoma: Adenocarcinoma mixed subtype, Acin"
465,adenofibroma
466,Adenofibroma and cystadenofibroma
467,adenoid basal carcinoma
468,adenoid cystic carcinoma
469,adenoid hypertrophy
470,adenoidal facies
471,ADENOIDS
472,Adenoma sebaceum (synonym: angiofibromas
473,"Adenomas: Alveolar adenoma, Papillary adenoma, Ade"
474,"Adenomas: Tubular adenoma, Lactating adenoma, Apoc"
475,Adenomyoepithelial adenosis
476,Adenomyoepithelioma
477,adenomyoma
478,adenomyosis
479,adenopathy
480,adenosarcoma
481,Adenosine deaminase deficiency
482,Adenosis
483,"Adenosis including variants: Sclerosing adenosis, "
484,adenosquamous carcinoma(Gollbladder)
485,ADENOVIRAL CONJUNCTIVITIS
486,ADENOVIRUS INFECTION
487,Adenylate kinase (AK) deficiency
488,Adenylosuccinate lyase deficiency
489,Adequate hydration
490,ADHD
491,adhesions
492,"adhesions present in nose, nasopharynx  and oropharynx"
493,adjunctive therapy
494,adolescent growth striae
495,adrenal atrophy
496,Adrenal Cancer
497,Adrenal cortex suppression
498,ADRENAL CORTICAL HYPERFUNCTION
499,Adrenal hyperfunction
500,Adrenal hypoplasia congenita
501,Adrenal Insufficiency
502,Adrenal suppression
503,adrenalectomy
504,ADRENOCORTICAL ADENOMA
505,adrenocortical carcinoma
506,Adrenoleukodystrophy
507,Adult fibrosarcoma
508,Adult granulosa cell tumour
509,Adult growth hormone deficiency
510,ADULT INCLUSION CONJUNCTIVITIS
511,adult- onset Still disease (AOSD)
512,ADVENTITIOUS BREATH SOUNDS
513,Adverse cardiac effects
514,adverse drug reaction
515,Adverse metabolic effects
516,Adynamic bone disease
517,Adynamic ileus
518,AERO-OTITIS MEDIA (OTITIC BAROTRAUMA)
519,AEROPHAGIA
520,aerophobia
521,affect skin collagen
522,affected area becomes painful and swollen and there  is increasing serous discharge from the wound
523,"affected area is dusky red and scaly, and fissures may develop."
524,"affected areas  are pink and covered with fi ne, silvery white scales"
525,"Affected children often have a doll-like face with fat cheeks, relatively thin extremities, short stature, and a protuberant abdomen"
526,"Affected individuals develop symptoms  of Raynaud phenomenon on exposure to cold or vibration, usually after many years of working with vibrating tools"
527,"Affected individuals present with a cluster of small translucent  nodules on the head and neck, particularly around the ear or the  hairline."
528,affected patients  are children in the fi rst group and adults in the second group. The  third group consists of intracranial meningiomas
529,affected skin is bright red and may be fissured
530,affects both the cochlea
531,AFFERENT PUPILLARY DEFECT
532,Afibrinogenemia
533,"After 3–4 days,  there is a widespread exanthem on the limbs and trunk, although  it becomes localized over the distal extremities, hands and feet"
534,After induction of general anaesthesia
535,Aftertaste
536,Agammaglobulinaemia
537,age related macular degeneration
538,AGE-RELATED(SENILE) CATARACT
539,Aggravate or uncover angina pectoris
540,"aggravated by straining and coughing, and by heavy worK"
541,aggravated by supine position
542,aggravation of asthma
543,aggravation of existing asthma
544,Aggravation of hyperparathyroidism
545,Aggravation of muscular weakness
546,aggravation of peptic ulcer
547,Aggravation of psoriasis
548,aggregation of erythrocytes
549,aggression
550,Aggressive behavior
551,agitation
552,Agminated or segmental lentiginosis manifests as a circumscribed group of lentigines arranged in a segmental pattern  that develop during childhood.
553,agranulocytosis
554,AICA-Ribosiduria
555,AIDS related Kaposi's sarcoma
556,AIDS wasting syndrome
557,AINHUM
558,airway obstruction
559,airway-centered interstitial fibrosis
560,akathisia
561,akinesia
562,ALAGILLE SYNDROME
563,ALBINISM
564,Albuminuria
565,Alcohol abuse
566,Alcohol addiction or abuse
567,alcoholic cirrhosis
568,ALCOHOLIC LIVER DISEASE
569,Alcoholism
570,Aldosterone biosynthesis defects
571,Aldosterone synthase deficiency
572,ALEXANDER DISEASE
573,"alkali- damage is  more severe than with most acids, and pain is also a feature. The  dead skin turns brown and later black, usually without blistering,  and forms a hard eschar."
574,"alkali- damage is  more severe than with most acids, and pain is also a feature. The  dead skin turns brown and later black, usually without blistering,  and forms a hard eschar. Phenols and unhardene"
575,alkalinisation of the urine
576,Alkali-type burn
577,alkalosis
578,ALKAPTONURIA
579,"All parts of both soles may be affected,Conspicuous, discrete,  shallow, circular lesions with a punched-out appearance coalesce  in places to produce irregular erosions."
580,Allergic alveolitis
581,allergic conditions
582,allergic conjunctivitis
583,allergic contact dermatitis
584,Allergic contact urticaria
585,allergic dermatitis
586,allergic disorders
587,Allergic hypersensitivity reactions
588,allergic lung reaction
589,allergic manifestations
590,Allergic mucocutaneous reactions
591,Allergic pneumonitis
592,allergic rashes
593,allergic reaction
594,allergic rhinitis
595,allergic skin reactions
596,allergies
597,allodynia
598,alopecia
599,Alopecia – diffuse and generalized
600,Alopecia Areata
601,Alpha 1 antitrypsin deficiency
602,alpha fetoprotein
603,Alpha-aminoadipic aciduria
604,Alpha-aminoadipic aciduria
605,Alpha-ketoglutarate dehydrogenase deficiency(2-Ket
606,Alport Syndrome(Kidney)
607,ALT increased
608,Alteration in bowel motility
609,Alteration in mental status
610,"alteration in perception of time,space,colour,or sound"
611,Alteration of colour vision
612,Alterations in behaviour
613,Alterations in cholesterol
614,Alterations in kidney liver function
615,alterations in liver function tests 
616,Altered bowel habbit
617,altered coagulation status
618,altered glucose tolerance
619,Altered intraglomerular hemodynamics
620,ALTERED LEVEL OF CONSIOUSNESS
621,altered libido
622,Altered liver function
623,altered liver function tests
624,altered menstrual cycles
625,ALTERED MENTAL STATUS
626,altered mood
627,Altered renal function
628,Altered sensation of taste
629,altered sensorium
630,altered taste
631,ALTERED VISUAL FIELD
632,Alternate vision occurs when one eye is hypermetropic and the other myopic
633,alternating (alternate squint)
634,Alters endocrine function
635,Alters metabolic function
636,"Although in initial reports the most common presentation was that of  a large retroperitoneal infi ltrative mass, superfi cial tumours appear to  be more common"
637,ALU
638,Aluminum intoxication
639,alveolar proteinosis
640,"Alveolar rhabdomyosarcoma (incl. solid, anaplastic"
641,Alveolar soft part sarcoma
642,Alveoli Collapse
643,Alveolitis
644,Alzheimer’s disease
645,Alzheimers Disease
646,amastia
647,amber-coloured spheroidal granules (small droplets) accumulate at the level of Bowman’s membrane and anterior stroma in the interpalpebral zone
648,ambigous genitalia
649,Ambiguous genitalia in females
650,Ambiguous genitalia in females and male
651,Ambiguous genitalia in males
652,Ambiguous genitalia in males and females
653,amblyopia
654,Amebiasis
655,Amelanotic melanoma
656,amelanotic melanoma
657,amelanotic nodule
658,amelanotic papule or nodule
659,ameleoblastic fibroma
660,Amenorrhea
661,amenorrhoea
662,Aminoacylase 1 deficiency
663,AML
664,amnesia
665,Amoebiasis
666,Amoebiasis
667,Amoebiasis dermatology
668,AMOEBIC LIVER ABSCESS
669,AMPUTATION
670,AMPUTATION OF CERVIX
671,AMYLOID DEGENERATION OF CONJUNCTIVA
672,"amyloid purpura occur above the nipple line, mostly on the head and neck, especially on the eyelids"
673,amyloidosis
674,AMYOTROPHIC LATERAL SCLEROSIS
675,An antiepileptic hypersensitivity syndrome
676,an antimongoloid slant to the eyes
677,"An extensive eruption of scattered pinkish red macules and  papules is present at birth or appears within a few hours. The  lesions generally progress to a vesicular phase, and then either to  a pustu"
678,an immunization. Discomfort or overt pain in the neck or back
679,an injury that will not stop bleeding
680,anaemia
681,Anaemic Retinopathy
682,anaerobic bacterial infections
683,anaesthesia
684,Anaesthesia of mucous membrane
685,Anaesthesia of periodontal pockets
686,Anaesthesia of the eye
687,Anaesthesia of urinary tract
688,Anal and perianal malignancy
689,Anal and perineal pruritus at nigh
690,ANAL FISSURE
691,ANAL HYPERTONIA
692,anal incontinence
693,ANAL INTRAEPITHELIAL NEOPLASIA
694,ANAL MALIGNANT TUMOR
695,anal pain
696,Anal seepage and irritation
697,ANAL WARTS
698,analgesic and antipyretic
699,analgesics
700,anaphylactic reactions
701,anaphylactic shock
702,Anaphylactoid reactions
703,Anaphylactoid syndrome
704,Anaphylaxis
705,anaplastic astrocytoma
706,anaplastic astrocytoma (who grade 3)
707,ANAPLASTIC CARCINOMA OF THYROID
708,anaplastic ependymoma
709,anaplastic ependymoma (who grade 3)
710,anaplastic ganglioglioma
711,anaplastic ganglioglioma (who grade 3)
712,anaplastic haemangiopericytoma
713,anaplastic haemangiopericytoma (who grade 3)
714,anaplastic meningioma
715,anaplastic oligoastrocytoma
716,anaplastic oligoastrocytoma (who grade 3)
717,anaplastic oligodendroglioma
718,ANATOMIC PROBLEMS
719,ANCA Small-Vessel Vasculitis
720,ANCA-associated vasculitides
721,ANCA-associated vasculitis
722,Ancylostomiasis
723,ANDI (Aberrations of normal development and involution)
724,ANDROGEN DEFICIENCY
725,Androgen-dependent tumours
726,Androgenic alopecia
727,androgens
728,androgens
729,anemia
730,anemia
731,Anemia due to disorder of glutathione metabolism
732,ANEMIA IN NEWBORN
733,anemia in pregnancy
734,anemia of chronic disease
735,ANENCEPHALY
736,anesthesia
737,Anetoderma
738,Anetoderma-like lesions with thrombosis
739,ANEURYSM
740,aneurysm of carotid artery
741,Aneurysmal bone cyst
742,Aneurysmal FH is usually rapidly growing and may attain a very  large size. They clinically mimic a vascular tumour
743,aneurysms
744,angelman syndrome
745,Angel's sign: Opposite testis lies horizontally because of  the presence of mesorchium.
746,anger
747,angina
748,angina pectoris
749,anginal pain
750,Anginal symptoms
751,angina-like chest pain
752,angiocentric glioma (who grade 1)
753,ANGIODYSPLASIA
754,angioedema
755,Angiogenesis
756,Angiography
757,angiokeratoma circumscriptum
758,Angiokeratoma circumscriptum
759,angiokeratomas
760,Angioleiomyoma
761,angiolipoma
762,angiolipomas are multiple variably painful subcutaneous nodules They are usually small and well circumscribed
763,angioma  serpiginosum
764,angioma serpiginosum
765,Angiomatoid fi brous histiocytoma
766,Angiomatoid fibrous histiocytoma
767,Angiomatosis
768,angiomatous polyps
769,"angiomatous, brain tissue"
770,"angiomatous, brain tissue"
771,Angiomyofi broblastoma
772,Angiomyofibroblastoma
773,ANGIOMYOLIPOMA
774,angioneurotic oedema
775,Angio-oedema
776,ANGIOSARCOMA
777,Angiosarcoma of soft tissue
778,angle closure glaucoma
779,Angle of anterior chamber is completely closed
780,Angle of deviation is usually constant and fairly large (>30°)
781,ANGLE OF HIS ENLARGEMENT
782,ANGULAR BACTERIAL CONJUNCTIVITIS
783,angular cheilitis
784,angular cheilitis
785,Angular cheilitis
786,angular deformity
787,angular stomatitis
788,Anhidrotic
789,Anhidrotic ectodermal dysplasia
790,animal bites
791,ANIRIDIA
792,Anisakiasis
793,Aniseikonia
794,ANISOMETROPIA
795,ankle bleeding
